query,pmid,title,year,journal,authors,pubdate
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39769289,PM2.5 Exposure Triggers Hypothalamic Oxidative and ER Stress Leading to Depressive-like Behaviors in Rats.,2024,International journal of molecular sciences,Kim HJ; Kim JH; Lee S; Do PA; Lee JY; Cha SK; Lee J,2024 Dec 17
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39771066,The Relationship Between PM2.5 and Eight Common Lung Diseases: A Two-Sample Mendelian Randomization Analysis.,2024,Toxics,Jiang Y; Si J; Wang Y; Zhang H; Zhou F; Lu X; Li X; Sun D; Wang Z,2024 Nov 26
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39771093,PM(2.5) Exposure Induces Glomerular Hyperfiltration in Mice in a Gender-Dependent Manner.,2024,Toxics,Wang H; Ma L; Guo Y; Ren L; Li G; Sang N,2024 Dec 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39771116,Determinants of Indoor NO(2) and PM(2.5) Concentration in Senior Housing with Gas Stoves.,2024,Toxics,Kadiri K; Turcotte D; Gore R; Bello A; Woskie SR,2024 Dec 11
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39771131,Contamination Characteristics of Antibiotic Resistance Genes in Multi-Vector Environment in Typical Regional Fattening House.,2024,Toxics,Wang K; Shen D; Guo Z; Zhong Q; Huang K,2024 Dec 18
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39771133,Associations Between Brominated Flame Retardant Exposure and Depression in Adults: A Cross-Sectional Study.,2024,Toxics,Cheng Y; Fei Y; Xu Z; Huang R; Jiang Y; Sun L; Wang X; Yu S; Luo Y; Mao X; Zhao X,2024 Dec 19
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39771629,The Influence of Polylactic Acid Filament Moisture Content on Dust Emissions in 3D Printing Process.,2024,"Sensors (Basel, Switzerland)",Karwasz A; Osiński F; Kaczmarek W; Furmaniak K; Rojek I,2024 Dec 10
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39781000,Air quality standards and WHO's guidance on particulate matter measuring 2.5 μm (PM2.5).,2024,Bulletin of the World Health Organization,Nazarenko Y; Pal D; Dwivedi S; Ariya PA,2025 Jan 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39793387,Particle-bound mercury in Saharan dust-loaded particulate matter in Cabo Verde.,2024,Journal of hazardous materials,Souza EJDS; Fomba KW; Anaya SGM; Schepanski K; Freire SM; Materić D; Reemtsma T; Herrmann H,2025 Apr 5
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39795684,Combined Catalytic Conversion of NOx and VOCs: Present Status and Prospects.,2024,"Materials (Basel, Switzerland)",Li M; Wang R,2024 Dec 25
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39796885,Time-Series Forecasting of PM(2.5) and PM(10) Concentrations Based on the Integration of Surveillance Images.,2024,"Sensors (Basel, Switzerland)",Wu Y; Wang X; Wang M; Liu X; Zhu S,2024 Dec 27
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39802429,Monitoring air quality index with EWMA and individual charts using XGBoost and SVR residuals.,2024,MethodsX,Alfasanah Z; Niam MZH; Wardiani S; Ahsan M; Lee MH,2025 Jun
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39803300,Respiratory Protective Effects of Perilla Leave Varieties (Perilla frutescens) Against Fine Particulate Matter (PM(2.5))-induced Damage in Human Nasal Cells.,2024,Food science & nutrition,Kim MY; Kim JI; Kim SW; Kim S; Oh E; Lee J; Lee E; An YJ; Han CY; Lee H; Lee MH,2025 Jan
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39803412,What is the relationship between exposure to environmental pollutants and severe mental disorders? A systematic review on shared biological pathways.,2024,"Brain, behavior, & immunity - health",Catapano P; Luciano M; Cipolla S; D'Amico D; Cirino A; Della Corte MC; Sampogna G; Fiorillo A,2025 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39803660,Interaction of breast cancer-relevant DNA repair genes and air pollution in relation to breast cancer risk in UK biobank.,2024,American journal of cancer research,Smotherman C; Sprague B; Braithwaite D; Yaghjyan L,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39804187,Urban air pollution and child neurodevelopmental conditions: a systematic bibliometric review.,2024,Current opinion in psychiatry,Kefas R; Roy R; D'Angiulli A,2025 Mar 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39805139,"The Impact of Air Pollution on Acute Angle-Closure Glaucoma in Hefei, China, 2017-2022: A Time-Series Study.",2024,Journal of occupational and environmental medicine,Zhang ST; Wang LQ; Fang YC; Shen WB; Li YL; Sun B; Li YR; Huang XH; Liu HT; Huang F; Zhou YF,2025 Mar 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39807588,Exposure Contrasts of Women Aged 40-79 Years during the Household Air Pollution Intervention Network Randomized Controlled Trial.,2024,Environmental science & technology,Ye W; Campbell D; Johnson M; Balakrishnan K; Peel JL; Steenland K; Underhill LJ; Rosa G; Kirby MA; Díaz-Artiga A; McCracken J; Thompson LM; Clark ML; Waller LA; Chang HH; Wang J; Dusabimana E; Ndagijimana F; Sambandam S; Mukhopadhyay K; Chiang M; Hartinger SM; Nicolaou L; Williams K; Piedrahita R; Kearns KA; Kremer J; Ghosh A; Rosenthal JP; Checkley W; Clasen T; Naeher L; Pillarisetti A,2025 Jan 14
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39817083,The Impact of Air Pollution on Cardiovascular Health Outcomes in African Populations: A Scoping Review.,2024,JACC. Advances,Adeoye M; Rahimzadeh S; Taylor S; Shrikhande S; Perel P; Shah A; Di Cesare M; Miller MR,2024 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39819469,"Level of elderly-supportive infrastructure, fine particulate matter and cardiovascular disease hospitalisations: a time-stratified case-crossover study in Wuhan.",2024,Global health action,Qin M; Liu X; Wang L; Huang T; Zuo X; Zou Y,2024 Dec 31
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39830335,"α-Bisabolol alleviates diesel exhaust particle-induced lung injury and mitochondrial dysfunction by regulating inflammatory, oxidative stress, and apoptotic biomarkers through the c-Jun N-terminal kinase signaling pathway.",2024,Frontiers in pharmacology,Beegam S; Zaaba NE; Elzaki O; Nemmar A,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39830725,Online Measurements during Simulated Atmospheric Aging Track the Strongly Increasing Oxidative Potential of Complex Combustion Aerosols Relative to Their Primary Emissions.,2024,Environmental science & technology letters,Cheung RKY; Zhang J; Wang T; Kattner L; Bogler S; Puthussery JV; Huang RJ; Gysel-Beer M; Slowik JG; Verma V; Prevot ASH; El Haddad I; Bell DM; Modini RL,2025 Jan 14
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39835314,"Association between exposure to environmental pollutants and increased oral health risks, a comprehensive review.",2024,Frontiers in public health,Zhu L; Tang M; Cai Y; Wang P,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39839242,Does Nonsteroidal Anti-inflammatory Drug Use Modify All-Cause and Cause-Specific Mortality Associated with PM(2.5) and Its Components? A Nationally Representative Cohort Study (2007-2017).,2024,"Environment & health (Washington, D.C.)",Wang W; Yang C; Wang F; Wang J; Zhang F; Li P; Zhang L,2025 Jan 17
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39839244,Multiphase Radical Chemical Processes Induced by Air Pollutants and the Associated Health Effects.,2024,"Environment & health (Washington, D.C.)",Wang Q; Song H; Dong H; Guo S; Yao M; Wan Y; Lu K,2025 Jan 17
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39839251,"Association between Ambient Ultrafine Particles and Neurodevelopmental Delay in Preschoolers in Shanghai, China.",2024,"Environment & health (Washington, D.C.)",Rong M; Shen Y; Ge Y; Du W; Kan H; Cai J; Zhao Y; Hua J,2025 Jan 17
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39845652,"Association between ambient air pollution and outpatient visits of cardiovascular diseases in Zibo, China: a time series analysis.",2024,Frontiers in public health,Wang Y; Qu S; Li T; Chen L; Yang L,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39845664,"Global burden of pneumoconiosis attributable to occupational particulate matter, gasses, and fumes from 1990~2021 and forecasting the future trends: a population-based study.",2024,Frontiers in public health,Qingsong M; Xiao R; Yang W; Wang X; Kong YZ,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39845671,Effects of PM(2.5) exposure and air temperature on risk of cardiovascular disease: evidence from a prospective cohort study.,2024,Frontiers in public health,Zhang Z; An R; Guo H; Yang X,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39849924,Inhibitory Effects of Compounds Isolated from Morinda citrifolia L. (Noni) Seeds against Particulate Matter-Induced Injury.,2024,Journal of microbiology and biotechnology,Cao TQ; Eom H; Kim H; Kang HY; Park YM; Jung SK; Hahn D,2024 Dec 12
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39850030,Airborne fine particulate matter exposure induces transcriptomic alterations resembling asthmatic signatures: insights from integrated omics analysis.,2024,Environmental epigenetics,González D; Infante A; López L; Ceschin D; Fernández-Sanchez MJ; Cañas A; Zafra-Mejía C; Rojas A,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39857357,Therapeutic Potential of Herbal Medicines in Combating Particulate Matter (PM)-Induced Health Effects: Insights from Recent Studies.,2024,"Antioxidants (Basel, Switzerland)",Intharuksa A; Arunotayanun W; Takuathung MN; Boongla Y; Chaichit S; Khamnuan S; Prasansuklab A,2024 Dec 27
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39857463,Exposure/Risk Assessment of Employees in Gasoline Refueling Stations with and Without the Efficacy of Vapor Recovery Systems in Mexico.,2024,International journal of environmental research and public health,Shinohara N; García JJFÁ; Reyes MM; Jiménez BG; Cruz RB; Gonzalez BC; Wakamatsu S,2024 Dec 25
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39866357,Moderate PM(10) exposure increases prostate cancer: a longitudinal nationwide cohort study (2010-2020).,2024,Frontiers in public health,Rho MJ; Park YH; Park J,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39868707,"[The effects of air pollution on health, state of epidemiological knowledge].",2024,Biologie aujourd'hui,Savouré M; Jacquemin B,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39877274,Occupational Exposure to Air Pollutants and Higher Risk of COPD in Construction Workers: A Meta-Analysis Study.,2024,Indian journal of occupational and environmental medicine,Narayanasamy N; Josyula L,2024 Oct-Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39877681,Dendriform pulmonary ossification in military combat veterans: A case series.,2024,Respiratory medicine case reports,Hua JT; Cool CD; Bang TJ; Krefft SD; Kraus RC; Rose CS,2025
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39884817,Environmentally persistent free radicals stimulate CYP2E1-mediated generation of reactive oxygen species at the expense of substrate metabolism.,2024,Drug metabolism and disposition: the biological fate of chemicals,Cawley GF; Connick JP; Eyer MK; Backes WL,2025 Jan
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39886997,Confounding effects of socioeconomic status on the association between long-term PM2.5 exposure and mortality in Korea.,2024,International journal of epidemiology,Lim H; Choi J; Bae S; Choi KH; Han X; Ha M; Kim JH; Kim S; Kwon HJ,2024 Dec 16
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39895946,"Ambient Air Pollution and Chronic kidney disease risk in Deltan communities: A Policy Brief, 2023.",2024,F1000Research,Okoye O; Carnegie E; Mora L,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39898080,Profile of cognitive deficits among children residing in areas with high ambient air pollution in Odisha.,2024,Industrial psychiatry journal,Dash K; Jena PK; Pattnaik JI; Mishra S; Ravan JR,2024 Jul-Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39904640,Impact of Extreme Temperature and Particulate Matter 2.5 on Outcomes of Out-of-Hospital Cardiac Arrest.,2024,The Journal of emergency medicine,Choi Y; Park S,2025 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39907622,Meeting clean air targets could reduce the burden of hypertension among women of reproductive age in India.,2024,International journal of epidemiology,Singh T; Chaudhary E; Roy A; Ghosh S; Dey S,2024 Dec 16
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39916362,"Cardiometabolic Health Effects of Air Pollution, Noise, Green Space, and Socioeconomic Status: The HERMES Study.",2024,Research report (Health Effects Institute),Raaschou-Nielsen O; Poulsen AH; Ketzel M; Frohn LM; Roswall N; Hvidtfeldt UA; Christensen JH; Brandt J; Sørensen M,2024 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39944566,"Concentration of traffic air pollutants and influencing metrological factors in Hawassa City roadways, Ethiopia.",2024,Frontiers in public health,Yirdaw AA; Ejeso A; Mokie Belayneh S; Yohannes L; Bezie AE; Beyene EM,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39959050,Spider Webs as Passive Monitors of Microplastic and Its Copollutants in Indoor Environments.,2024,ACS omega,Aradhana KS; Moorchilot VS; Joo T; Aravindakumar CT; Aravind UK,2025 Feb 11
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",39959284,Montana Statewide Google Earth Engine-Based Wildfire Hazardous Particulate (PM2.5) Concentration Estimation.,2024,Air,Morgan A; Crowley J; Nagisetty RM,2024 Jun
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40012876,Subnational Evidence for the Attributable Burden of Respiratory Infections in China's Population under 20: Challenges from Particulate Matter Pollution.,2024,"Environment & health (Washington, D.C.)",Duan J; Ding R; Li M; Qi J; Yin P; Wang L; Sun Z; Hu Y; Zhou M,2025 Feb 21
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40018178,Health and economic cost estimates of short-term total and wildfire PM2.5 exposure on work loss: using the consecutive California Health Interview Survey (CHIS) data 2015-2018.,2024,BMJ public health,Meng YY; Yu Y; Garcia-Gonzales D; Al-Hamdan MZ; Marlier ME; Wilkins JL; Ponce N; Jerrett M,2024 Jun
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40027090,"Exposure to cooking emissions in kitchens and chronic obstructive pulmonary disease in women: a population-based case-control study in Ouagadougou, Burkina Faso.",2024,The Pan African medical journal,Sana A; Kafando B; Meda N; Bouland C,2024
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40027955,Beyond the tailpipe: Review of non-exhaust airborne nanoparticles from road vehicles.,2024,Eco-Environment & Health,Wei Y; Kumar P,2025 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40049858,"Spatial variations of PM(2.5)-bound parent, nitrated, and oxygenated PAHs at urban and suburban sites in the Ili River Valley: Characteristics, sources, and health risks.",2024,Journal of environmental sciences (China),Zhao X; Ji Y; Bai W; Guo L; Gu C; Liang H; Li X; Yang W,2025 Aug
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40060763,Assessing the impact of airborne particulate pollution on human skin utilizing a novel human skin equivalent containing MUTZ-3-derived Langerhans cells.,2024,Bioengineering & translational medicine,Simpson A; DiColandrea T; Przyborski S,2025 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40195669,Endothelial progenitor cells and chronic obstructive pulmonary disease: From basic research to clinical application.,2024,Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,He X; Zeng H; Chen Y,2024 Dec 28
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40196868,"Airborne culprits: A comprehensive review of PM, silica, and TCDD in autoimmune diseases.",2024,Journal of translational autoimmunity,Galeano-Sánchez D; Morales-González V; Monsalve DM; Ramırez-Santana C; Acosta-Ampudia Y,2024 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40242430,Health and air pollutant emission impacts of Net Zero CO2 by 2050 scenarios from the Energy Modeling Forum 37 study.,2024,Energy and climate change,Loughlin D; Barron A; Chettri CB; O'Meara A; Sarmiento L; Dong D; McCollum DL; Showalter S; Beach R; Bistline J; Kim GJ; Nolte CG; Emmerling J; Kaplan O,2024 Nov 8
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246471,PM(2.5) concentration prediction algorithm integrating traffic congestion index.,2024,Journal of environmental sciences (China),Fang Y; Zhang S; Yu K; Gao J; Liu X; Cui C; Hu J,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246473,"Explosive growth characteristics of 5.6-560 nm particles and deposition in human respiratory during spring in Yangtze River Delta region, China.",2024,Journal of environmental sciences (China),Gong Y; Ou J; Hu Q; Xing C; Zhu Y; Wan Y; Wang D; Zhang C; Guan L; Feng J; Ji X; Wang X; Liu C,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246475,"Source apportionment of PM(2.5) using dispersion normalized positive matrix factorization (DN-PMF) in Beijing and Baoding, China.",2024,Journal of environmental sciences (China),Ryoo I; Kim T; Ryu J; Cheong Y; Moon KJ; Jeon KH; Hopke PK; Yi SM; Park J,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246476,Carbon black induced pulmonary fibrosis through piR-713551/PIWIL4 targeting THBS2 signal pathway.,2024,Journal of environmental sciences (China),Wang M; Niu Y; Liu Q; Yang P; Wu M; Wu R; Shi B; Chen J; Wang J; Du Z; Pang Y; Bao L; Niu Y; Zhang R,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246479,Effects of PM(2.5) exposure on hematopoiesis and coupled immune disorder in adult male mice.,2024,Journal of environmental sciences (China),Ma L; Wang Y; Wang H; Ren L; Guo Y; Qin L; Gong Z; Li G; Sang N,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246480,Exposure to plasticizers in city waste recycling: Focused on the size-fractioned particulate-bound phthalates and bisphenols.,2024,Journal of environmental sciences (China),Xu TT; Zhang YJ; Yi JF; Bai CL; Guo Y,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246497,Individual and joint exposure to PM(2.5) constituents and incident risk of metabolic syndrome: A national cohort study.,2024,Journal of environmental sciences (China),Kuang Z; Zhu L; Zheng H; Zhang J; Wang Y; Tang Z; Li Y; Huang Y; Ding Z; Zhang Y,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246513,Impact of improved air quality on lung function and blood pressure of middle-aged and older population in China.,2024,Journal of environmental sciences (China),Zhao X; Neophytou AM,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40246516,"Insights into the morphology, composition, and sources of atmospheric particulate matter on Mount Qomolangma (Everest).",2024,Journal of environmental sciences (China),Tian B; Zhao P; Zhao P; Zhu K; Tang J; Ding M,2025 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40248517,3D printed micro-cyclones with improved geometries for low-cost aerosol size separation.,2024,Aerosol science and technology : the journal of the American Association for Aerosol Research,Goderis D; Xiao Y; Alotbi A; Ahtsham A; Dvonch JT; Mason AJ; Ault AP,2025
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40342950,Investigating PM2.5 Oxidative Potential and Its Association with Chemical Constituents Measured outside of Urban Residences in Three Metropolitan Cities of India.,2024,Journal of health & pollution,Dubey S; Vijay P; Raparthi N; Phuleria HC,2024 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40342955,"Association of Short-Term Exposure to Air Pollution with Depression in Patients with Asthma: A Cross-Sectional Study in Delhi, India.",2024,Journal of health & pollution,Maheshwari V; Negandhi P; Jaggi V; Batra S; Prabhakaran P; Menon JS,2024 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40383943,Long-Term Exposure to Low-Level Ambient Air Pollution and Mortality among 0.3 Million Chinese Older Adults.,2024,Biomedical and environmental sciences : BES,Liu L; Yuan X; Ni W; Wei J; Liu T; Xu R; Li Y; Zhong Z; Zheng Y; Liang S; Wang R; Xu J; Liu Y,2024 Dec 20
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40412927,Analysis of atmospheric pollutant characteristics and regional transport in coastal area along the East China Sea.,2024,Journal of environmental sciences (China),Wu Y; Liu D; Xu H; Shan M; Li S; Tian P; Hu K; Wang J,2025 Oct
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40412936,PM(2.5) concentration prediction system combining fuzzy information granulation and multi-model ensemble learning.,2024,Journal of environmental sciences (China),Chen Y; Wang J; Li R; Gao J,2025 Oct
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40412986,Augmentation of PM(1.0) measurements based on machine learning model and environmental factors.,2024,Journal of environmental sciences (China),Hwang H; Kim CH; Park JS; Park S; Kim JB; Lee JY,2025 Oct
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40438446,"Household Air Pollution Related to Housing Characteristics and Cooking Conditions in Jimma Town, Ethiopia.",2024,Ethiopian journal of health sciences,Mulat E; Tamiru D; Abate KH,2024 May
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40496532,From Atmosphere to Health Outcomes: Analyzing Predictors of Respiratory Disease Mortality in Turkiye.,2024,Public health challenges,Kocak M; Kocak AN,2024 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40544343,Distributed lag interaction model with index modification.,2024,"Biostatistics (Oxford, England)",Demateis D; India-Aldana S; Wright RO; Wright RJ; Baccarelli A; Colicino E; Wilson A; Keller KP,2024 Dec 31
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40602904,Ensemble source apportionment of particulate matter and volatile organic compounds and quantifying ensemble source impacts on ozone.,2024,Journal of environmental sciences (China),Liang W; Wang Z; Zhao D; Liu J; Ma T; Feng Y; Shi G,2025 Nov
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40703464,"Air pollution, including PM(10), as a potential risk factor for the development of appendicitis in Korea: a case-crossover study.",2024,Ewha medical journal,Jee Y; Nam JH; Oh J; Noh GT; Ha E; Lee RA,2024 Jul
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40740289,Leveraging long short term memory in air pollution prediction in Nairobi.,2024,International journal of statistics and applied mathematics,Masinde AW; Mwaniki PM; Mwaniki JI,2024 Sep-Oct
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",40756869,Commuter exposure to smoke and particulate matter air pollution in Auckland during the 2019 New Zealand International Convention Centre fire.,2024,Journal of the Royal Society of New Zealand,Lawson RV; Sila-Nowicka K; Exeter DJ,2025
