query,pmid,title,year,journal,authors,pubdate
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30628371,[Patterns of Mortality from Air Pollutant Emissions in China's Coal-fired Power Plants].,2018,Huan jing ke xue= Huanjing kexue,Qin Y; Zhang Q; Li X; Zhao HY; Tong D; Zheng YX; Geng GN; He KB,2018 Dec 8
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30631781,Occupational exposures and associated risk factors among U.S. casino workers: a narrative review.,2018,AIMS public health,Clouser JM; Flunker JC; Swanberg JE; Betz G; Baidwan S; Tracy JK,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30636659,"Effects of PM2.5 Exposure in Different Air Quality Grades on Daily Outpatient Visits for Childhood Asthma in Shijiazhuang, China.",2018,Biomedical and environmental sciences : BES,Fu GQ; Jiang YF; Liu LP; Liu HY; Zhou J; Cui XW; Wang SG,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30641393,Topographical structures in planting design of living walls affect their ability to immobilise traffic-based particulate matter.,2018,The Science of the total environment,Weerakkody U; Dover JW; Mitchell P; Reiling K,2019 Apr 10
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30642191,Pulmonary exposure to peat smoke extracts in rats decreases expiratory time and increases left heart end systolic volume.,2018,Inhalation toxicology,Thompson LC; Kim YH; Martin BL; Ledbetter AD; Dye JA; Hazari MS; Gilmour MI; Farraj AK,2018 Sep-Oct
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30646156,Association of Prenatal Exposure to Ambient and Traffic-Related Air Pollution With Newborn Thyroid Function: Findings From the Children's Health Study.,2018,JAMA network open,Howe CG; Eckel SP; Habre R; Girguis MS; Gao L; Lurmann FW; Gilliland FD; Breton CV,2018 Sep 7
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30654247,Short-term exposure to ambient air pollution and circulating biomarkers of endothelial cell activation: The Framingham Heart Study.,2018,Environmental research,Li W; Dorans KS; Wilker EH; Rice MB; Ljungman PL; Schwartz JD; Coull BA; Koutrakis P; Gold DR; Keaney JF Jr; Vasan RS; Benjamin EJ; Mittleman MA,2019 Apr
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30662085,Comparison of multiple X-ray fluorescence techniques for elemental analysis of particulate matter collected on air filters.,2018,Journal of aerosol science,Bilo F; Borgese L; Wambui A; Assi A; Zacco A; Federici S; Eichert DM; Tsuji K; Lucchini RG; Placidi D; Bontempi E; Depero LE,2018 Aug
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30662169,Evaluation of air quality at the Birmingham New Street Railway Station.,2018,"Proceedings of the Institution of Mechanical Engineers. Part F, Journal of rail and rapid transit",Hickman AL; Baker CJ; Cai X; Delgado-Saborit JM; Thornes JE,2018 Jul
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30662183,"Peak Expiratory Flow Rate, Blood Oxygen Saturation, and Pulse Rate among the Mine Tailing Community.",2018,Indian journal of community medicine : official publication of Indian Association of Preventive & Social Medicine,Shenoy UG; Kutty K,2018 Oct-Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30662486,Effects of ambient particulate matter on aerobic exercise performance.,2018,Journal of exercise science and fitness,Wagner DR; Clark NW,2018 Apr
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30665519,The short-term effects of air pollution on respiratory diseases and lung cancer mortality in Hefei: A time-series analysis.,2018,Respiratory medicine,Zhu F; Ding R; Lei R; Cheng H; Liu J; Shen C; Zhang C; Xu Y; Xiao C; Li X; Zhang J; Cao J,2019 Jan
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30666183,Gestational Exposure to Particulate Matter 2.5 (PM(2.5)) Leads to Spatial Memory Dysfunction and Neurodevelopmental Impairment in Hippocampus of Mice Offspring.,2018,Frontiers in neuroscience,Zheng X; Wang X; Wang T; Zhang H; Wu H; Zhang C; Yu L; Guan Y,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30666232,Prenatal Exposure to Traffic Pollution and Childhood Body Mass Index Trajectory.,2018,Frontiers in endocrinology,Fleisch AF; Aris IM; Rifas-Shiman SL; Coull BA; Luttmann-Gibson H; Koutrakis P; Schwartz JD; Kloog I; Gold DR; Oken E,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30671347,Morphological and chemical composition of particulate matter in buses exhaust.,2018,Toxicology reports,Chernyshev VV; Zakharenko AM; Ugay SM; Hien TT; Hai LH; Olesik SM; Kholodov AS; Zubko E; Kokkinakis M; Burykina TI; Stratidakis AK; Mezhuev YO; Sarigiannis DA; Tsatsakis A; Golokhvast KS,2019
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30675795,Exposure to Secondhand Smoke and Arrhythmogenic Cardiac Alternans in a Mouse Model.,2018,Environmental health perspectives,Wang Z; Wang L; Tapa S; Pinkerton KE; Chen CY; Ripplinger CM,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30675798,Estimating the Effects of PM(2.5) on Life Expectancy Using Causal Modeling Methods.,2018,Environmental health perspectives,Schwartz JD; Wang Y; Kloog I; Yitshak-Sade M; Dominici F; Zanobetti A,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30677895,High level of source-specific particulate matter air pollution associated with cardiac arrhythmias.,2018,The Science of the total environment,Feng B; Song X; Dan M; Yu J; Wang Q; Shu M; Xu H; Wang T; Chen J; Zhang Y; Zhao Q; Wu R; Liu S; Yu JZ; Wang T; Huang W,2019 Mar 20
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30677928,Breathing the same air? Socioeconomic disparities in PM(2.5) exposure and the potential benefits from air filtration.,2018,The Science of the total environment,Huang G; Zhou W; Qian Y; Fisher B,2019 Mar 20
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30677932,"Seasonal variation, formation mechanisms and potential sources of PM(2.5) in two typical cities in the Central Plains Urban Agglomeration, China.",2018,The Science of the total environment,Liu H; Tian H; Zhang K; Liu S; Cheng K; Yin S; Liu Y; Liu X; Wu Y; Liu W; Bai X; Wang Y; Shao P; Luo L; Lin S; Chen J; Liu X,2019 Mar 20
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30677947,Health effects of physical activity as predicted by particle deposition in the human respiratory tract.,2018,The Science of the total environment,Deng Q; Ou C; Shen YM; Xiang Y; Miao Y; Li Y,2019 Mar 20
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30678013,Effectiveness of vegetation and sound wall-vegetation combination barriers on pollution dispersion from freeways under early morning conditions.,2018,The Science of the total environment,Ranasinghe D; Lee ES; Zhu Y; Frausto-Vicencio I; Choi W; Sun W; Mara S; Seibt U; Paulson SE,2019 Mar 25
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30682744,"The contribution of the Beijing, Tianjin and Hebei region's iron and steel industry to local air pollution in winter.",2018,"Environmental pollution (Barking, Essex : 1987)",Yang H; Tao W; Liu Y; Qiu M; Liu J; Jiang K; Yi K; Xiao Y; Tao S,2019 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30682747,Mutagenic and genotoxic effects induced by PM(0.5) of different Italian towns in human cells and bacteria: The MAPEC_LIFE study.,2018,"Environmental pollution (Barking, Essex : 1987)",Bonetta S; Bonetta S; Schilirò T; Ceretti E; Feretti D; Covolo L; Vannini S; Villarini M; Moretti M; Verani M; Carducci A; Bagordo F; De Donno A; Bonizzoni S; Bonetti A; Pignata C; Carraro E; Gelatti U; MAPEC_LIFE Study Group,2019 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30682754,Identification of osteopontin as a biomarker of human exposure to fine particulate matter.,2018,"Environmental pollution (Barking, Essex : 1987)",Ho CC; Wu WT; Chen YC; Liou SH; Yet SF; Lee CH; Tsai HT; Weng CY; Tsai MH; Lin P,2019 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30682755,Dysregulation of lipid metabolism induced by airway exposure to polycyclic aromatic hydrocarbons in C57BL/6 mice.,2018,"Environmental pollution (Barking, Essex : 1987)",Li F; Xiang B; Jin Y; Li C; Li J; Ren S; Huang H; Luo Q,2019 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30687413,Evaluation of EU air quality standards through modeling and the FAIRMODE benchmarking methodology.,2018,"Air quality, atmosphere, & health",Kushta J; Georgiou GK; Proestos Y; Christoudias T; Thunis P; Savvides C; Papadopoulos C; Lelieveld J,2019
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30687591,Developmental Origins of Disease: Emerging Prenatal Risk Factors and Future Disease Risk.,2018,Current epidemiology reports,Aris IM; Fleisch AF; Oken E,2018 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30713661,Effects of indoor coal fine particulate matter on the expression levels of inflammatory factors in ovalbumin-induced mice.,2018,Toxicology research,Yu J; Tang Y; Xu J,2019 Jan 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30716675,"Implications of seasonal control of PM(2.5)-bound PAHs: An integrated approach for source apportionment, source region identification and health risk assessment.",2018,"Environmental pollution (Barking, Essex : 1987)",Chao S; Liu J; Chen Y; Cao H; Zhang A,2019 Apr
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30723785,Antioxidants and Chronic Obstructive Pulmonary Disease.,2018,"Chronic obstructive pulmonary diseases (Miami, Fla.)",Vézina FA; Cantin AM,2018 Oct 8
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30728987,"Physiochemical characteristics and oxidative potential of ambient air particulate matter (PM(10)) during dust and non-dust storm events: a case study in Tehran, Iran.",2018,Journal of environmental health science & engineering,Rezaei S; Naddafi K; Hassanvand MS; Nabizadeh R; Yunesian M; Ghanbarian M; Atafar Z; Faraji M; Nazmara S; Mahmoudi B; Ghozikali MG; Ghanbarian M; Gholampour A,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30729002,An investigation of thermal environment of an existing UFAD system in a high-rise office building in the tropics.,2018,Journal of environmental health science & engineering,Yau YH; Poh KS; Badarudin A,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30731313,Short-term and long-term exposures to fine particulate matter constituents and health: A systematic review and meta-analysis.,2018,"Environmental pollution (Barking, Essex : 1987)",Yang Y; Ruan Z; Wang X; Yang Y; Mason TG; Lin H; Tian L,2019 Apr
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30743839,Seasonal variability in chemical composition and oxidative potential of ambient aerosol over a high altitude site in western India.,2018,The Science of the total environment,Patel A; Rastogi N,2018 Dec 10
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30743886,Air quality modeling and inhalation health risk assessment for a new generation coal-fired power plant in Central Italy.,2018,The Science of the total environment,Piersanti A; Adani M; Briganti G; Cappelletti A; Ciancarella L; Cremona G; D'Isidoro M; Lombardi C; Pacchierotti F; Russo F; Spanò M; Uccelli R; Vitali L,2018 Dec 10
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30744811,Ambient fine particulate matter (PM(2.5)) induces oxidative stress and pro-inflammatory response via up-regulating the expression of CYP1A1/1B1 in human bronchial epithelial cells in vitro.,2018,Mutation research. Genetic toxicology and environmental mutagenesis,Yuan Q; Chen Y; Li X; Zhang Z; Chu H,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30746128,Air pollution and kidney disease: review of current evidence.,2018,Clinical kidney journal,Afsar B; Elsurer Afsar R; Kanbay A; Covic A; Ortiz A; Kanbay M,2019 Feb
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30759550,Transboundary and traffic influences on air pollution across two Caribbean islands.,2018,The Science of the total environment,Shairsingh KK; Jeong CH; Evans GJ,2019 Feb 25
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30759579,"Source apportionment of the oxidative potential of fine ambient particulate matter (PM(2.5)) in Athens, Greece.",2018,The Science of the total environment,Taghvaee S; Sowlat MH; Diapouli E; Manousakas MI; Vasilatou V; Eleftheriadis K; Sioutas C,2019 Feb 25
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30759582,Exposure to coarse particulate matter during gestation and term low birthweight in California: Variation in exposure and risk across region and socioeconomic subgroup.,2018,The Science of the total environment,Enders C; Pearson D; Harley K; Ebisu K,2019 Feb 25
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30771627,Towards a fuller assessment of benefits to children's health of reducing air pollution and mitigating climate change due to fossil fuel combustion.,2018,Environmental research,Perera F; Ashrafi A; Kinney P; Mills D,2019 May
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30774967,Non-Cardiac Chest Pain: A Review of Environmental Exposure-Associated Comorbidities and Biomarkers.,2018,EMJ. Gastroenterology,Mikhail M; Crowley G; Haider SH; Veerappan A; Lam R; Talusan A; Clementi E; Ostrofsky D; Kwon S; Nolan A,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30779516,Effect of Air Pollution and Hospital Admission: A Systematic Review.,2018,Annals of global health,Ab Manan N; Noor Aizuddin A; Hod R,2018 Nov 5
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30815637,"The Relationship between Pneumocystis Infection in Animal and Human Hosts, and Climatological and Environmental Air Pollution Factors: A Systematic Review.",2018,OBM genetics,Miller RF; Huang L; Walzer PD,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30835377,Estimation of Short-term Mortality and Morbidity Attributed to Fine Particulate Matter in the Ambient Air of Eight Iranian Cities.,2018,Annals of global health,Kermani M; Goudarzi G; Shahsavani A; Dowlati M; Asl FB; Karimzadeh S; Jokandan SF; Aghaei M; Kakavandi B; Rastegarimehr B; Ghorbani-Kalkhajeh S; Tabibi R,2018 Aug 31
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30835379,Health Implications of Occupational Exposure of Butchers to Emissions from Burning Tyres.,2018,Annals of global health,Okonkwo FO; Njan AA; Ejike CECC; Nwodo UU; Onwurah INE,2018 Aug 31
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30839538,Optically sizing single atmospheric particulates with a 10-nm resolution using a strong evanescent field.,2018,"Light, science & applications",Yu XC; Zhi Y; Tang SJ; Li BB; Gong Q; Qiu CW; Xiao YF,2018
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30841383,"Neighborhood-based subjective environmental vulnerability index for community health assessment: Development, validation and evaluation.",2018,The Science of the total environment,Ho HC; Wong MS; Man HY; Shi Y; Abbas S,2019 Mar 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30841384,A novel spatiotemporal convolutional long short-term neural network for air pollution prediction.,2018,The Science of the total environment,Wen C; Liu S; Yao X; Peng L; Li X; Hu Y; Chi T,2019 Mar 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30841392,Associations between fine particulate matter and changes in lipids/lipoproteins among midlife women.,2018,The Science of the total environment,Wu XM; Broadwin R; Basu R; Malig B; Ebisu K; Gold EB; Qi L; Derby C; Park SK; Green S,2019 Mar 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30849251,Involvement of PM2.5-bound protein and metals in PM2.5-induced allergic airway inflammation in mice.,2018,Inhalation toxicology,Ogino K; Nagaoka K; Ito T; Takemoto K; Okuda T; Nakayama SF; Ogino N; Seki Y; Hamada H; Takashiba S; Fujikura Y,2018 Nov-Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30854505,Pollutant composition modification of the effect of air pollution on progression of coronary artery calcium: the Multi-Ethnic Study of Atherosclerosis.,2018,"Environmental epidemiology (Philadelphia, Pa.)",Keller JP; Larson TV; Austin E; Barr RG; Sheppard L; Vedal S; Kaufman JD; Szpiro AA,2018 Sep
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30857114,The importance of spatial resolutions of Community Multiscale Air Quality (CMAQ) models on health impact assessment.,2018,The Science of the total environment,Jiang X; Yoo EH,2018 Jun 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30857121,Seasonal and spatial variations in the chemical components and the cellular effects of particulate matter collected in Northern China.,2018,The Science of the total environment,Lyu Y; Su S; Wang B; Zhu X; Wang X; Zeng EY; Xing B; Tao S,2018 Jun 15
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30859794,An Exposure Appraisal of Outdoor Air Pollution on the Respiratory Well-being of a Developing City Population.,2018,Journal of epidemiology and global health,Aliyu YA; Botai JO,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30862200,Biphasic changes in airway epithelial cell EGF receptor binding and phosphorylation induced by components of hogbarn dust.,2018,Experimental lung research,Dodmane PR; Schulte NA; Heires AJ; Band H; Romberger DJ; Toews ML,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30864379,Organic dust exposure in veterinary clinics: a case study of a small-animal practice in Portugal.,2018,Arhiv za higijenu rada i toksikologiju,Viegas C; Monteiro A; Ribeiro E; Caetano LA; Carolino E; Assunção R; Viegas S,2018 Dec 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30873799,"Environmental Epigenetic Changes, as Risk Factors for the Development of Diseases in Children: A Systematic Review.",2018,Annals of global health,Alvarado-Cruz I; Alegría-Torres JA; Montes-Castro N; Jiménez-Garza O; Quintanilla-Vega B,2018 Jul 27
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30889153,Evaluation of alpha-1-antitrypsin levels in blood serum of patients with chronic obstructive pulmonary disease.,2018,Acta bio-medica : Atenei Parmensis,Perincek G; Avcı S,2018 Oct 16
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30906685,A Review of Environmental Epidemiology Studies in Southwestern and Mountain West Rural Minority Populations.,2018,Current epidemiology reports,Gonzales M; Erdei E; Hoover J; Nash J,2018 Jun
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30906916,"Associations between multipollutant day types and select cardiorespiratory outcomes in Columbia, South Carolina, 2002 to 2013.",2018,"Environmental epidemiology (Philadelphia, Pa.)",Pearce JL; Neelon B; Bozigar M; Hunt KJ; Commodore A; Vena J,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30931239,Air Pollution and Cardiovascular Disease: A Focus on Vulnerable Populations Worldwide.,2018,Current epidemiology reports,Tibuakuu M; Michos ED; Navas-Acien A; Jones MR,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30949380,"Lung Function of Grain Millers Exposed to Grain Dust and Diesel Exhaust in Two Food Markets in Ibadan Metropolis, Nigeria.",2018,Safety and health at work,Iyogun K; Lateef SA; Ana GREE,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30960920,Preparation and Properties of sc-PLA/PMMA Transparent Nanofiber Air Filter.,2018,Polymers,Lv S; Zhao X; Shi L; Zhang G; Wang S; Kang W; Zhuang X,2018 Sep 6
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",30961010,Nanoporous PLA/(Chitosan Nanoparticle) Composite Fibrous Membranes with Excellent Air Filtration and Antibacterial Performance.,2018,Polymers,Li H; Wang Z; Zhang H; Pan Z,2018 Sep 30
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31008439,Air pollution and Autism in Denmark.,2018,"Environmental epidemiology (Philadelphia, Pa.)",Ritz B; Liew Z; Yan Q; Cui X; Virk J; Ketzel M; Raaschou-Nielsen O,2018 Dec
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31057954,Correcting Measurement Error in Satellite Aerosol Optical Depth with Machine Learning for Modeling PM(2.5) in the Northeastern USA.,2018,Remote sensing,Just AC; De Carli MM; Shtein A; Dorman M; Lyapustin A; Kloog I,2018 May
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31096331,Mitigation impact of roadside trees on fine particle pollution.,2018,The Science of the total environment,Ozdemir H,2019 Apr 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31130767,Gaseous and Particulate Emissions from a Chimneyless Biomass Cookstove Equipped with a Potassium Catalyst.,2018,Applied energy,Paulsen AD; Kunsa TA; Carpenter AL; Amundsen TJ; Schwartz NR; Harrington J; Reed J; Alcorn B; Gattoni J; Yelvington PE,2019 Feb 1
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31157310,Impact of California Fires on Local and Regional Air Quality: The Role of a Low-Cost Sensor Network and Satellite Observations.,2018,GeoHealth,Gupta P; Doraiswamy P; Levy R; Pikelnaya O; Maibach J; Feenstra B; Polidori A; Kiros F; Mills KC,2018 Jun
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31159135,Fine particulate matter exposure and medication dispensing during and after a coal mine fire: A time series analysis from the Hazelwood Health Study.,2018,"Environmental pollution (Barking, Essex : 1987)",Johnson AL; Dipnall JF; Dennekamp M; Williamson GJ; Gao CX; Carroll MTC; Dimitriadis C; Ikin JF; Johnston FH; McFarlane AC; Sim MR; Stub DA; Abramson MJ; Guo Y,2019 Mar
"(PM2.5 OR ""particulate matter"") AND (health OR mortality)",31159138,Assessment of ultrafine particles in primary schools: Emphasis on different indoor microenvironments.,2018,"Environmental pollution (Barking, Essex : 1987)",Slezakova K; de Oliveira Fernandes E; Pereira MDC,2019 Mar
